Date,0M,1M,2M,3M,4M,5M,6M,7M
2015-10-05,19.54,19.675,19.50892857142857,19.787857142857142,20.150000000000002,20.364285714285714,20.665000000000003,20.817857142857143
2015-10-06,19.4,20.110714285714288,19.925,20.222142857142856,20.541071428571428,20.720535714285717,20.982142857142858,21.073214285714286
2015-10-07,18.4,19.30357142857143,19.212500000000002,19.572142857142858,19.9625,20.125,20.455000000000002,20.625
2015-10-08,17.42,18.492857142857144,18.72142857142857,19.174999999999997,19.63660714285714,19.835,20.165,20.28392857142857
2015-10-09,17.08,18.317857142857143,18.6625,19.222142857142856,19.675,19.895,20.225,20.34285714285714
2015-10-12,16.17,17.0625,17.639285714285716,18.232142857142858,18.808035714285715,19.085714285714285,19.455357142857142,19.63125
2015-10-13,17.67,18.589285714285715,18.916071428571428,19.459285714285716,19.785714285714285,19.97642857142857,20.235714285714288,20.40714285714286
2015-10-14,18.03,18.65357142857143,19.125,19.725,20.076785714285716,20.275,20.583928571428572,20.675
2015-10-15,16.05,17.132142857142856,17.722142857142856,18.49107142857143,18.96785714285714,19.216428571428573,19.5625,19.75
2015-10-16,15.05,17.04017857142857,17.770714285714288,18.557142857142857,19.01875,19.295714285714286,19.6125,19.805357142857144
2015-10-19,14.98,15.95,16.90357142857143,17.764285714285716,18.246428571428574,18.57357142857143,18.90357142857143,19.239285714285714
2015-10-20,15.75,17.04642857142857,17.76214285714286,18.521428571428572,18.955357142857142,19.285,19.589285714285715,20.512500000000003
2015-10-21,16.7,18.25357142857143,18.745,19.3125,19.639285714285716,19.90714285714286,20.224999999999998,20.28482142857143
2015-10-22,14.45,16.16785714285714,17.025,17.835714285714285,18.291071428571428,18.619285714285716,18.977678571428573,19.29642857142857
2015-10-23,14.46,16.733928571428574,17.499285714285715,18.169642857142858,18.6,18.955714285714286,19.2625,19.476785714285715
2015-10-26,15.29,17.075,17.822142857142858,18.52857142857143,18.920535714285712,19.28214285714286,19.608928571428574,19.867857142857144
